OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,Decay_type,Fruitbody_type
OTU1,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Antarctomyces,Antarctomyces pellizariae,,soil_saprotroph,,,,,soil,,partly_marine_(partly_non-aquatic),,,filamentous_mycelium,other,,,,,,,other
OTU2,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,,,,,,,,,,,,,,,,,,,,,,
OTU3,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Thelebolus,,,dung_saprotroph,foliar_endophyte,litter_saprotroph_some_species,foliar_endophyte,,"leaf/fruit/seed,dung",,partly_aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU4,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,,,,,,,,,,,,,,,,,,,,,,
OTU5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus radians,,soil_saprotroph,,,,,soil,,partly_aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU6,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,leaf/fruit/seed_pathogen,"leaf/fruit/seed,soil,dung,animal_material",,non-aquatic,animal_parasite,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU7,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Podospora,Podospora fibrinocaudata,,dung_saprotroph,foliar_endophyte,litter_saprotroph_some_species,foliar_endophyte,,"leaf/fruit/seed,dung",,partly_freshwater_(partly_non-aquatic),,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU8,Fungi,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Hasegawaea,Hasegawaea japonica,,,,,,,,,,,,,,,,,,,,
OTU9,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,leaf/fruit/seed_pathogen,"leaf/fruit/seed,soil,dung,animal_material",,non-aquatic,animal_parasite,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU10,Fungi,Basidiomycota,Agaricomycetes,Boletales,Melanogastraceae,Melanogaster,Melanogaster macrocarpus CA01,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/paxillus-gyrodon,,,,gasteroid-hypogeous
OTU11,Fungi,Basidiomycota,Tremellomycetes,,,,,,,,,,,,,,,,,,,,,,,,
OTU12,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,,,unspecified_saprotroph,foliar_endophyte,"toxin-producing,animal_parasite_some_species,mycoparasite_some_species",foliar_endophyte,,soil,mold,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,
OTU13,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,,,,,,,,,,,,,,,,,,,,,,
OTU14,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,,,soil_saprotroph,,,,,soil,,partly_aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU15,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,,,litter_saprotroph,dung_saprotroph,,,,"leaf/fruit/seed,dung",,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface)
OTU16,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,,,soil_saprotroph,,,,,soil,,partly_aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU17,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,,,dung_saprotroph,,,,,dung,,partly_aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU18,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,Xerocomellus behrii,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,poroid,long-distance,/boletus,,,,agaricoid
OTU19,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis neophlyctidospora,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU20,Fungi,Ascomycota,,,,,,,,,,,,,,,,,,,,,,,,,
OTU21,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,Paxillus ammoniavirescens,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/paxillus-gyrodon,,,,agaricoid
